2025-07-11 01:12:34,757 [INFO] Use pytorch device_name: mps
2025-07-11 01:12:34,757 [INFO] Load pretrained SentenceTransformer: all-mpnet-base-v2
2025-07-11 01:13:04,180 [INFO] [1075/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:04,728 [INFO] [1087/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:13:04,956 [INFO] [1100/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-023/REQ-023-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-023/REQ-023-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:05,235 [INFO] [1114/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-024/REQ-024-HLJ-Chunk_2-Item_10-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-024/REQ-024-HLJ-Chunk_2-Item_10-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:13:05,436 [INFO] [1125/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-012/REQ-012-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-012/REQ-012-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:06,143 [INFO] [1150/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-005/REQ-005-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-005/REQ-005-HLJ-Chunk_2-Item_9-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:06,802 [INFO] [1175/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-003/REQ-003-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-003/REQ-003-HLJ-Chunk_1-Item_2-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:07,265 [INFO] [1197/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_7-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:13:07,562 [INFO] [1200/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_1-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-028/REQ-028-HLJ-Chunk_1-Item_1-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'too_few_points'}
2025-07-11 01:13:08,125 [INFO] [1225/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-019/REQ-019-HLJ-Chunk_1-Item_8-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-019/REQ-019-HLJ-Chunk_1-Item_8-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'too_few_points'}
2025-07-11 01:13:08,563 [INFO] [1247/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_5-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:13:08,630 [INFO] [1250/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_1-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-018/REQ-018-HLJ-Chunk_1-Item_1-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:08,841 [INFO] [1262/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-020/REQ-020-HLJ-Chunk_1-Item_3-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-020/REQ-020-HLJ-Chunk_1-Item_3-v1.0_rake.json', 'status': 'no_candidates'}
2025-07-11 01:13:09,119 [INFO] [1275/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/meta70b/req-029/REQ-029-HLJ-Chunk_2-Item_7-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:09,645 [INFO] [1300/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_2-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/opus4/req-008/REQ-008-HLJ-Chunk_2-Item_2-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
2025-07-11 01:13:10,495 [INFO] [1325/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/mpnet_base/stanza/rake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/mpnet_base/stanza/rake/opus4/req-006/REQ-006-HLJ-Chunk_2-Item_1-v1.0_rake.json', 'status': 'success', 'silhouette': -1, 'fallback': 'one_cluster_per_point'}
